host_guid,host_taxon,host_collection,host_group,parasite_record_count,parasite_taxon_count,latitude,longitude,mappable,min_year,max_year,host_url
UAM:Mamm:78325,Myodes rutilus,UAM:Mamm,Mammal,2,1,67.4531111111,-150.8500277778,True,2002.0,2002.0,https://arctos.database.museum/guid/UAM:Mamm:78325
MSB:Mamm:158066,Myodes rutilus,MSB:Mamm,Mammal,1,1,58.0535,-129.8856388889,True,2003.0,2003.0,https://arctos.database.museum/guid/MSB:Mamm:158066
MSB:Host:845,,MSB:Host,Host collection,2,2,63.694167,-170.478889,True,,,https://arctos.database.museum/guid/MSB:Host:845
MSB:Mamm:67638,Dipodomys merriami,MSB:Mamm,Mammal,5,4,34.418171,-107.02921799999999,True,1991.0,1991.0,https://arctos.database.museum/guid/MSB:Mamm:67638
MSB:Mamm:71314,Dipodomys merriami,MSB:Mamm,Mammal,1,1,34.29136,-106.935975,True,1992.0,1992.0,https://arctos.database.museum/guid/MSB:Mamm:71314
MSB:Mamm:79884,Dipodomys merriami,MSB:Mamm,Mammal,2,2,34.418171,-107.029218,True,1992.0,1992.0,https://arctos.database.museum/guid/MSB:Mamm:79884
MSB:Mamm:261619,Dipodomys merriami,MSB:Mamm,Mammal,1,1,34.334181,-106.739406,True,1998.0,1998.0,https://arctos.database.museum/guid/MSB:Mamm:261619
MSB:Mamm:261620,Dipodomys merriami,MSB:Mamm,Mammal,1,1,34.334181,-106.739406,True,1998.0,1998.0,https://arctos.database.museum/guid/MSB:Mamm:261620
MSB:Mamm:261633,Dipodomys merriami,MSB:Mamm,Mammal,1,1,34.331126,-106.732365,True,1998.0,1998.0,https://arctos.database.museum/guid/MSB:Mamm:261633
MSB:Mamm:260958,Dipodomys merriami,MSB:Mamm,Mammal,2,1,34.288474,-106.904267,True,1998.0,1998.0,https://arctos.database.museum/guid/MSB:Mamm:260958
MSB:Mamm:261245,Dipodomys merriami,MSB:Mamm,Mammal,3,3,34.334181,-106.73940599999999,True,1998.0,1998.0,https://arctos.database.museum/guid/MSB:Mamm:261245
MSB:Mamm:259768,Dipodomys merriami,MSB:Mamm,Mammal,2,2,34.418171,-107.029218,True,1991.0,1991.0,https://arctos.database.museum/guid/MSB:Mamm:259768
MSB:Mamm:69834,Dipodomys merriami,MSB:Mamm,Mammal,4,4,34.288474,-106.904267,True,1994.0,1994.0,https://arctos.database.museum/guid/MSB:Mamm:69834
MSB:Host:854,,MSB:Host,Host collection,1,1,63.779601,-171.740277,True,,,https://arctos.database.museum/guid/MSB:Host:854
MSB:Mamm:69714,Dipodomys merriami,MSB:Mamm,Mammal,1,1,34.334181,-106.739406,True,1994.0,1994.0,https://arctos.database.museum/guid/MSB:Mamm:69714
MSB:Mamm:69664,Dipodomys merriami,MSB:Mamm,Mammal,1,1,34.334181,-106.739406,True,1994.0,1994.0,https://arctos.database.museum/guid/MSB:Mamm:69664
MSB:Mamm:79434,Dipodomys merriami,MSB:Mamm,Mammal,2,2,34.331126,-106.732365,True,1994.0,1994.0,https://arctos.database.museum/guid/MSB:Mamm:79434
MSB:Mamm:69666,Dipodomys merriami,MSB:Mamm,Mammal,1,1,34.331126,-106.732365,True,1994.0,1994.0,https://arctos.database.museum/guid/MSB:Mamm:69666
MSB:Mamm:79433,Dipodomys merriami,MSB:Mamm,Mammal,4,3,34.334181,-106.739406,True,1994.0,1994.0,https://arctos.database.museum/guid/MSB:Mamm:79433
MSB:Mamm:140711,Dipodomys merriami,MSB:Mamm,Mammal,3,2,34.334181,-106.73940599999999,True,1997.0,1997.0,https://arctos.database.museum/guid/MSB:Mamm:140711
MSB:Mamm:99186,Dipodomys merriami,MSB:Mamm,Mammal,1,1,34.288474,-106.904267,True,1998.0,1998.0,https://arctos.database.museum/guid/MSB:Mamm:99186
MSB:Mamm:261657,Dipodomys merriami,MSB:Mamm,Mammal,1,1,34.288474,-106.904267,True,1998.0,1998.0,https://arctos.database.museum/guid/MSB:Mamm:261657
MSB:Mamm:261377,Neotoma albigula,MSB:Mamm,Mammal,1,1,34.29136,-106.935975,True,1998.0,1998.0,https://arctos.database.museum/guid/MSB:Mamm:261377
MSB:Mamm:71219,Dipodomys merriami,MSB:Mamm,Mammal,2,2,34.334181,-106.739406,True,1992.0,1992.0,https://arctos.database.museum/guid/MSB:Mamm:71219
MSB:Mamm:69816,Dipodomys merriami,MSB:Mamm,Mammal,1,1,34.288474,-106.904267,True,1992.0,1992.0,https://arctos.database.museum/guid/MSB:Mamm:69816
MSB:Mamm:71053,Dipodomys merriami,MSB:Mamm,Mammal,1,1,34.288474,-106.904267,True,1992.0,1992.0,https://arctos.database.museum/guid/MSB:Mamm:71053
MSB:Mamm:71685,Dipodomys merriami,MSB:Mamm,Mammal,4,3,34.418171,-107.029218,True,1992.0,1992.0,https://arctos.database.museum/guid/MSB:Mamm:71685
MSB:Mamm:81031,Dipodomys merriami,MSB:Mamm,Mammal,2,2,34.295043,-106.923831,True,1992.0,1992.0,https://arctos.database.museum/guid/MSB:Mamm:81031
MSB:Mamm:71241,Dipodomys merriami,MSB:Mamm,Mammal,6,5,34.331126,-106.732365,True,1992.0,1992.0,https://arctos.database.museum/guid/MSB:Mamm:71241
MSB:Mamm:79446,Dipodomys merriami,MSB:Mamm,Mammal,1,1,34.288474,-106.904267,True,1992.0,1992.0,https://arctos.database.museum/guid/MSB:Mamm:79446
MSB:Mamm:85443,Dipodomys merriami,MSB:Mamm,Mammal,3,3,34.29136,-106.935975,True,1995.0,1995.0,https://arctos.database.museum/guid/MSB:Mamm:85443
MSB:Mamm:85473,Dipodomys merriami,MSB:Mamm,Mammal,5,4,34.29136,-106.93597500000001,True,1996.0,1996.0,https://arctos.database.museum/guid/MSB:Mamm:85473
MSB:Mamm:66451,Dipodomys merriami,MSB:Mamm,Mammal,4,3,34.288474,-106.904267,True,1991.0,1991.0,https://arctos.database.museum/guid/MSB:Mamm:66451
MSB:Mamm:66452,Dipodomys merriami,MSB:Mamm,Mammal,4,3,34.288474,-106.904267,True,1991.0,1991.0,https://arctos.database.museum/guid/MSB:Mamm:66452
MSB:Mamm:66454,Dipodomys merriami,MSB:Mamm,Mammal,4,3,34.288474,-106.904267,True,1991.0,1991.0,https://arctos.database.museum/guid/MSB:Mamm:66454
MSB:Mamm:69659,Dipodomys merriami,MSB:Mamm,Mammal,2,2,34.334181,-106.739406,True,1994.0,1994.0,https://arctos.database.museum/guid/MSB:Mamm:69659
MSB:Mamm:81363,Dipodomys merriami,MSB:Mamm,Mammal,6,5,34.294287,-106.93176899999999,True,1994.0,1994.0,https://arctos.database.museum/guid/MSB:Mamm:81363
MSB:Mamm:79431,Dipodomys merriami,MSB:Mamm,Mammal,3,3,34.334181,-106.73940599999999,True,1994.0,1994.0,https://arctos.database.museum/guid/MSB:Mamm:79431
MSB:Mamm:69842,Dipodomys merriami,MSB:Mamm,Mammal,3,3,34.295043,-106.923831,True,1994.0,1994.0,https://arctos.database.museum/guid/MSB:Mamm:69842
MSB:Mamm:81331,Dipodomys merriami,MSB:Mamm,Mammal,2,2,34.331126,-106.732365,True,1994.0,1994.0,https://arctos.database.museum/guid/MSB:Mamm:81331
MSB:Mamm:81333,Dipodomys merriami,MSB:Mamm,Mammal,3,3,34.331126,-106.732365,True,1994.0,1994.0,https://arctos.database.museum/guid/MSB:Mamm:81333
MSB:Mamm:259398,Dipodomys ordii,MSB:Mamm,Mammal,2,2,34.335185,-106.725265,True,1997.0,1997.0,https://arctos.database.museum/guid/MSB:Mamm:259398
MSB:Mamm:71394,Neotoma albigula,MSB:Mamm,Mammal,1,1,34.29136,-106.935975,True,1993.0,1993.0,https://arctos.database.museum/guid/MSB:Mamm:71394
MSB:Mamm:71242,Dipodomys merriami,MSB:Mamm,Mammal,3,3,34.331126,-106.732365,True,1992.0,1992.0,https://arctos.database.museum/guid/MSB:Mamm:71242
MSB:Host:21777,Helisoma trivolvis,MSB:Host,Host collection,1,1,34.1371666667,-108.4918333333,True,2011.0,2011.0,https://arctos.database.museum/guid/MSB:Host:21777
MSB:Mamm:71257,Dipodomys merriami,MSB:Mamm,Mammal,2,2,34.331126,-106.732365,True,1992.0,1992.0,https://arctos.database.museum/guid/MSB:Mamm:71257
MSB:Mamm:71429,Dipodomys merriami,MSB:Mamm,Mammal,4,4,34.331126,-106.732365,True,1992.0,1992.0,https://arctos.database.museum/guid/MSB:Mamm:71429
MSB:Mamm:71430,Dipodomys merriami,MSB:Mamm,Mammal,5,3,34.331126,-106.732365,True,1992.0,1992.0,https://arctos.database.museum/guid/MSB:Mamm:71430
MSB:Mamm:79984,Dipodomys merriami,MSB:Mamm,Mammal,2,2,34.331126,-106.732365,True,1992.0,1992.0,https://arctos.database.museum/guid/MSB:Mamm:79984
MSB:Mamm:71552,Dipodomys merriami,MSB:Mamm,Mammal,1,1,34.420524,-107.035359,True,1992.0,1992.0,https://arctos.database.museum/guid/MSB:Mamm:71552
MSB:Mamm:66399,Dipodomys merriami,MSB:Mamm,Mammal,3,2,34.288474,-106.904267,True,1990.0,1990.0,https://arctos.database.museum/guid/MSB:Mamm:66399
MSB:Mamm:66401,Dipodomys merriami,MSB:Mamm,Mammal,2,2,34.288474,-106.904267,True,1990.0,1990.0,https://arctos.database.museum/guid/MSB:Mamm:66401
MSB:Mamm:66402,Dipodomys merriami,MSB:Mamm,Mammal,1,1,34.288474,-106.904267,True,1990.0,1990.0,https://arctos.database.museum/guid/MSB:Mamm:66402
MSB:Mamm:63612,Dipodomys merriami,MSB:Mamm,Mammal,9,5,34.304801,-106.613816,True,1990.0,1990.0,https://arctos.database.museum/guid/MSB:Mamm:63612
MSB:Mamm:64281,Dipodomys merriami,MSB:Mamm,Mammal,2,2,34.331126,-106.732365,True,1990.0,1990.0,https://arctos.database.museum/guid/MSB:Mamm:64281
MSB:Mamm:142647,,MSB:Mamm,Mammal,3,3,33.0830555556,-103.62416666669999,True,1996.0,1996.0,https://arctos.database.museum/guid/MSB:Mamm:142647
MSB:Mamm:67675,Dipodomys merriami,MSB:Mamm,Mammal,2,2,34.331126,-106.732365,True,1990.0,1990.0,https://arctos.database.museum/guid/MSB:Mamm:67675
MSB:Mamm:81263,Dipodomys merriami,MSB:Mamm,Mammal,1,1,34.420524,-107.035359,True,1994.0,1994.0,https://arctos.database.museum/guid/MSB:Mamm:81263
MSB:Mamm:69848,Dipodomys merriami,MSB:Mamm,Mammal,1,1,34.288474,-106.904267,True,1994.0,1994.0,https://arctos.database.museum/guid/MSB:Mamm:69848
MSB:Mamm:81371,Dipodomys merriami,MSB:Mamm,Mammal,5,4,34.29136,-106.93597500000001,True,1994.0,1994.0,https://arctos.database.museum/guid/MSB:Mamm:81371
MSB:Mamm:81336,Dipodomys merriami,MSB:Mamm,Mammal,2,2,34.334181,-106.739406,True,1994.0,1994.0,https://arctos.database.museum/guid/MSB:Mamm:81336
MSB:Mamm:81260,Dipodomys merriami,MSB:Mamm,Mammal,2,2,34.331126,-106.732365,True,1994.0,1994.0,https://arctos.database.museum/guid/MSB:Mamm:81260
MSB:Mamm:81339,Dipodomys merriami,MSB:Mamm,Mammal,3,3,34.334181,-106.73940599999999,True,1994.0,1994.0,https://arctos.database.museum/guid/MSB:Mamm:81339
MSB:Mamm:79031,Dipodomys merriami,MSB:Mamm,Mammal,2,2,34.418171,-107.029218,True,1992.0,1992.0,https://arctos.database.museum/guid/MSB:Mamm:79031
MSB:Mamm:71244,Dipodomys merriami,MSB:Mamm,Mammal,2,2,34.334181,-106.739406,True,1992.0,1992.0,https://arctos.database.museum/guid/MSB:Mamm:71244
MSB:Mamm:71281,Dipodomys merriami,MSB:Mamm,Mammal,3,3,34.331126,-106.732365,True,1992.0,1992.0,https://arctos.database.museum/guid/MSB:Mamm:71281
MSB:Mamm:71282,Dipodomys merriami,MSB:Mamm,Mammal,4,3,34.331126,-106.732365,True,1992.0,1992.0,https://arctos.database.museum/guid/MSB:Mamm:71282
MSB:Mamm:71318,Dipodomys merriami,MSB:Mamm,Mammal,1,1,34.29136,-106.935975,True,1992.0,1992.0,https://arctos.database.museum/guid/MSB:Mamm:71318
MSB:Mamm:79413,Dipodomys merriami,MSB:Mamm,Mammal,1,1,34.331126,-106.732365,True,1993.0,1993.0,https://arctos.database.museum/guid/MSB:Mamm:79413
MSB:Mamm:67567,Dipodomys merriami,MSB:Mamm,Mammal,2,2,34.294287,-106.931769,True,1990.0,1990.0,https://arctos.database.museum/guid/MSB:Mamm:67567
