host_guid,host_species,host_genus,part_name,part_id,part_remark,preservation,condition,part_count,parsed_flea_count,parsed_mite_count,parsed_tick_count,parsed_louse_count,parsed_nematode_count,parsed_cestode_count,parsed_trematode_count
KSB:Mamm:2,Sigmodon hispidus,Sigmodon,ectoparasite,https://arctos.database.museum/guid/KSB:Mamm:2/PID31956750,lice,ethanol 95%,good,3,,,,,,,
KSB:Mamm:2,Sigmodon hispidus,Sigmodon,endoparasite,https://arctos.database.museum/guid/KSB:Mamm:2/PID31956751,nematode,ethanol 95%,good,1,,,,,,,
KSB:Mamm:11,Neotoma floridana,Neotoma,ectoparasite,https://arctos.database.museum/guid/KSB:Mamm:11/PID32366905,,ethanol 80%,excellent,1,,,,,,,
KSB:Mamm:28,Peromyscus leucopus,Peromyscus,ectoparasite,https://arctos.database.museum/guid/KSB:Mamm:28/PID32367005,,ethanol 80%,excellent,1,,,,,,,
KSB:Mamm:29,Peromyscus leucopus,Peromyscus,ectoparasite,https://arctos.database.museum/guid/KSB:Mamm:29/PID32367013,,ethanol 80%,excellent,1,,,,,,,
KSB:Mamm:30,Peromyscus leucopus,Peromyscus,ectoparasite,https://arctos.database.museum/guid/KSB:Mamm:30/PID32367021,,ethanol 80%,excellent,1,,,,,,,
KSB:Mamm:32,Peromyscus leucopus,Peromyscus,ectoparasite,https://arctos.database.museum/guid/KSB:Mamm:32/PID32367036,,ethanol 80%,excellent,1,,,,,,,
KSB:Mamm:33,Peromyscus leucopus,Peromyscus,ectoparasite,https://arctos.database.museum/guid/KSB:Mamm:33/PID32367044,,ethanol 80%,excellent,1,,,,,,,
KSB:Mamm:39,Peromyscus leucopus,Peromyscus,ectoparasite,https://arctos.database.museum/guid/KSB:Mamm:39/PID32367079,,ethanol 80%,excellent,1,,,,,,,
KSB:Mamm:39,Peromyscus leucopus,Peromyscus,endoparasite,https://arctos.database.museum/guid/KSB:Mamm:39/PID32367080,,ethanol 80%,excellent,1,,,,,,,
KSB:Mamm:40,Peromyscus leucopus,Peromyscus,ectoparasite,https://arctos.database.museum/guid/KSB:Mamm:40/PID32367088,,ethanol 80%,excellent,1,,,,,,,
KSB:Mamm:41,Didelphis virginiana,Didelphis,ectoparasite,https://arctos.database.museum/guid/KSB:Mamm:41/PID32367096,,ethanol 80%,good,1,,,,,,,
KSB:Mamm:42,Didelphis virginiana,Didelphis,ectoparasite,https://arctos.database.museum/guid/KSB:Mamm:42/PID32367104,ticks,ethanol 95%,good,1,,,,,,,
KSB:Mamm:55,Peromyscus leucopus,Peromyscus,ectoparasite,https://arctos.database.museum/guid/KSB:Mamm:55/PID32367192,,ethanol 80%,excellent,1,,,,,,,
KSB:Mamm:57,Peromyscus leucopus,Peromyscus,ectoparasite,https://arctos.database.museum/guid/KSB:Mamm:57/PID32367207,,ethanol 80%,excellent,1,,,,,,,
KSB:Mamm:58,Peromyscus leucopus,Peromyscus,endoparasite,https://arctos.database.museum/guid/KSB:Mamm:58/PID32367213,,ethanol 95%,very good,1,,,,,,,
KSB:Mamm:70,Sigmodon hispidus,Sigmodon,ectoparasite,https://arctos.database.museum/guid/KSB:Mamm:70/PID32367289,,ethanol 95%,very good,1,,,,,,,
KSB:Mamm:72,Peromyscus leucopus,Peromyscus,endoparasite,https://arctos.database.museum/guid/KSB:Mamm:72/PID32367302,,ethanol 95%,excellent,1,,,,,,,
KSB:Mamm:73,Neotoma floridana,Neotoma,ectoparasite,https://arctos.database.museum/guid/KSB:Mamm:73/PID32367310,,ethanol 80%,excellent,1,,,,,,,
KSB:Mamm:74,Peromyscus leucopus,Peromyscus,ectoparasite,https://arctos.database.museum/guid/KSB:Mamm:74/PID32367318,,ethanol 80%,excellent,1,,,,,,,
KSB:Mamm:75,Peromyscus leucopus,Peromyscus,ectoparasite,https://arctos.database.museum/guid/KSB:Mamm:75/PID32367326,,ethanol 80%,excellent,1,,,,,,,
KSB:Mamm:76,Neotoma floridana,Neotoma,ectoparasite,https://arctos.database.museum/guid/KSB:Mamm:76/PID32367334,,ethanol 80%,excellent,1,,,,,,,
KSB:Mamm:78,Peromyscus leucopus,Peromyscus,ectoparasite,https://arctos.database.museum/guid/KSB:Mamm:78/PID32367347,,ethanol 80%,excellent,1,,,,,,,
KSB:Mamm:92,Peromyscus leucopus,Peromyscus,ectoparasite,https://arctos.database.museum/guid/KSB:Mamm:92/PID32367426,,ethanol 95%,good,1,,,,,,,
KSB:Mamm:93,Peromyscus leucopus,Peromyscus,ectoparasite,https://arctos.database.museum/guid/KSB:Mamm:93/PID32367434,,ethanol 80%,excellent,1,,,,,,,
KSB:Mamm:99,Peromyscus leucopus,Peromyscus,ectoparasite,https://arctos.database.museum/guid/KSB:Mamm:99/PID32367469,,ethanol 80%,excellent,1,,,,,,,
KSB:Mamm:99,Peromyscus leucopus,Peromyscus,endoparasite,https://arctos.database.museum/guid/KSB:Mamm:99/PID32367470,,ethanol 95%,ecellent,1,,,,,,,
KSB:Mamm:101,Sigmodon hispidus,Sigmodon,ectoparasite,https://arctos.database.museum/guid/KSB:Mamm:101/PID32367483,,ethanol 80%,excellent,1,,,,,,,
KSB:Mamm:107,Sigmodon hispidus,Sigmodon,ectoparasite,https://arctos.database.museum/guid/KSB:Mamm:107/PID32367517,,ethanol 80%,excellent,1,,,,,,,
KSB:Mamm:110,Chaetodipus hispidus,Chaetodipus,ectoparasite,https://arctos.database.museum/guid/KSB:Mamm:110/PID32367534,,ethanol 95%,good,1,,,,,,,
