parasite_guid,parasite_name,parasite_genus,parasite_species,date,year,host_guid,host_taxon,host_collection,host_group,host_sex,host_age,location_in_host,parasite_life_stage,parasite_sex,individual_count,experimental,parasite_url,host_url,latitude,longitude,mappable
MSB:Para:1,Paranoplocephala nearctica,Paranoplocephala,Paranoplocephala nearctica,23 Jul 2002,2002.0,UAM:Mamm:78325,Myodes rutilus,UAM:Mamm,Mammal,,,,,,,,https://arctos.database.museum/guid/MSB:Para:1,https://arctos.database.museum/guid/UAM:Mamm:78325,67.4531111111,-150.8500277778,True
MSB:Para:10,Paranoplocephala nearctica,Paranoplocephala,Paranoplocephala nearctica,19 Jun 2003,2003.0,MSB:Mamm:158066,Myodes rutilus,MSB:Mamm,Mammal,,,,,,,,https://arctos.database.museum/guid/MSB:Para:10,https://arctos.database.museum/guid/MSB:Mamm:158066,58.0535,-129.8856388889,True
MSB:Para:1000,Taenia,Taenia,,24 Feb 51,,MSB:Host:845,,MSB:Host,Host collection,,,,,,,,https://arctos.database.museum/guid/MSB:Para:1000,https://arctos.database.museum/guid/MSB:Host:845,63.694167,-170.478889,True
MSB:Para:10000,Pterygodermatites dipodomis,Pterygodermatites,Pterygodermatites dipodomis,"1991, season 2, trapnight 2",1991.0,MSB:Mamm:67638,Dipodomys merriami,MSB:Mamm,Mammal,female,,small intestine,,female,,,https://arctos.database.museum/guid/MSB:Para:10000,https://arctos.database.museum/guid/MSB:Mamm:67638,34.418171,-107.029218,True
MSB:Para:10001,Pterygodermatites dipodomis,Pterygodermatites,Pterygodermatites dipodomis,"1992, season 1, trapnight 1",1992.0,MSB:Mamm:71314,Dipodomys merriami,MSB:Mamm,Mammal,female,,small intestine,,female,,,https://arctos.database.museum/guid/MSB:Para:10001,https://arctos.database.museum/guid/MSB:Mamm:71314,34.29136,-106.935975,True
MSB:Para:10002,Pterygodermatites dipodomis,Pterygodermatites,Pterygodermatites dipodomis,"1992, season 1, trapnight 1",1992.0,MSB:Mamm:79884,Dipodomys merriami,MSB:Mamm,Mammal,female,,small intestine,,female,,,https://arctos.database.museum/guid/MSB:Para:10002,https://arctos.database.museum/guid/MSB:Mamm:79884,34.418171,-107.029218,True
MSB:Para:10003,Pterygodermatites dipodomis,Pterygodermatites,Pterygodermatites dipodomis,"1998, season 1, trapnight 1",1998.0,MSB:Mamm:261619,Dipodomys merriami,MSB:Mamm,Mammal,male,,small intestine,,female,,,https://arctos.database.museum/guid/MSB:Para:10003,https://arctos.database.museum/guid/MSB:Mamm:261619,34.334181,-106.739406,True
MSB:Para:10004,Pterygodermatites dipodomis,Pterygodermatites,Pterygodermatites dipodomis,"1998, season 1, trapnight 1",1998.0,MSB:Mamm:261620,Dipodomys merriami,MSB:Mamm,Mammal,male,,small intestine,,female,,,https://arctos.database.museum/guid/MSB:Para:10004,https://arctos.database.museum/guid/MSB:Mamm:261620,34.334181,-106.739406,True
MSB:Para:10005,Pterygodermatites dipodomis,Pterygodermatites,Pterygodermatites dipodomis,"1998, season 1, trapnight 2",1998.0,MSB:Mamm:261633,Dipodomys merriami,MSB:Mamm,Mammal,male,,small intestine,,female,,,https://arctos.database.museum/guid/MSB:Para:10005,https://arctos.database.museum/guid/MSB:Mamm:261633,34.331126,-106.732365,True
MSB:Para:10006,Pterygodermatites dipodomis,Pterygodermatites,Pterygodermatites dipodomis,"1998, season 1, trapnight 3",1998.0,MSB:Mamm:260958,Dipodomys merriami,MSB:Mamm,Mammal,male,,small intestine,,female,,,https://arctos.database.museum/guid/MSB:Para:10006,https://arctos.database.museum/guid/MSB:Mamm:260958,34.288474,-106.904267,True
MSB:Para:10007,Pterygodermatites dipodomis,Pterygodermatites,Pterygodermatites dipodomis,"1998, season 3, trapnight 3",1998.0,MSB:Mamm:261245,Dipodomys merriami,MSB:Mamm,Mammal,male,,small intestine,,female,,,https://arctos.database.museum/guid/MSB:Para:10007,https://arctos.database.museum/guid/MSB:Mamm:261245,34.334181,-106.739406,True
MSB:Para:10008,Pterygodermatites dipodomis,Pterygodermatites,Pterygodermatites dipodomis,"1991, season 2, trapnight 1",1991.0,MSB:Mamm:259768,Dipodomys merriami,MSB:Mamm,Mammal,male,,small intestine,,female,,,https://arctos.database.museum/guid/MSB:Para:10008,https://arctos.database.museum/guid/MSB:Mamm:259768,34.418171,-107.029218,True
MSB:Para:10009,Pterygodermatites dipodomis,Pterygodermatites,Pterygodermatites dipodomis,"1994, season 1, trapnight 1",1994.0,MSB:Mamm:69834,Dipodomys merriami,MSB:Mamm,Mammal,male,,small intestine,,female,,,https://arctos.database.museum/guid/MSB:Para:10009,https://arctos.database.museum/guid/MSB:Mamm:69834,34.288474,-106.904267,True
MSB:Para:1001,Taenia,Taenia,,5 Dec 50,,MSB:Host:854,,MSB:Host,Host collection,,,,,,,,https://arctos.database.museum/guid/MSB:Para:1001,https://arctos.database.museum/guid/MSB:Host:854,63.779601,-171.740277,True
MSB:Para:10010,Pterygodermatites dipodomis,Pterygodermatites,Pterygodermatites dipodomis,"1994, season 1, trapnight 1",1994.0,MSB:Mamm:69714,Dipodomys merriami,MSB:Mamm,Mammal,male,,small intestine,,female,,,https://arctos.database.museum/guid/MSB:Para:10010,https://arctos.database.museum/guid/MSB:Mamm:69714,34.334181,-106.739406,True
MSB:Para:10011,Pterygodermatites dipodomis,Pterygodermatites,Pterygodermatites dipodomis,"1994, season 1, trapnight 1",1994.0,MSB:Mamm:69664,Dipodomys merriami,MSB:Mamm,Mammal,male,,small intestine,,female,,,https://arctos.database.museum/guid/MSB:Para:10011,https://arctos.database.museum/guid/MSB:Mamm:69664,34.334181,-106.739406,True
MSB:Para:10012,Pterygodermatites dipodomis,Pterygodermatites,Pterygodermatites dipodomis,"1994, season 1, trapnight 2",1994.0,MSB:Mamm:79434,Dipodomys merriami,MSB:Mamm,Mammal,male,,small intestine,,female,,,https://arctos.database.museum/guid/MSB:Para:10012,https://arctos.database.museum/guid/MSB:Mamm:79434,34.331126,-106.732365,True
MSB:Para:10013,Pterygodermatites dipodomis,Pterygodermatites,Pterygodermatites dipodomis,"1994, season 1, trapnight 2",1994.0,MSB:Mamm:69666,Dipodomys merriami,MSB:Mamm,Mammal,male,,small intestine,,female,,,https://arctos.database.museum/guid/MSB:Para:10013,https://arctos.database.museum/guid/MSB:Mamm:69666,34.331126,-106.732365,True
MSB:Para:10014,Pterygodermatites dipodomis,Pterygodermatites,Pterygodermatites dipodomis,"1994, season 1, trapnight 2",1994.0,MSB:Mamm:79433,Dipodomys merriami,MSB:Mamm,Mammal,male,,small intestine,,female,,,https://arctos.database.museum/guid/MSB:Para:10014,https://arctos.database.museum/guid/MSB:Mamm:79433,34.334181,-106.739406,True
MSB:Para:10015,Pterygodermatites dipodomis,Pterygodermatites,Pterygodermatites dipodomis,"1997, season 3, trapnight 1",1997.0,MSB:Mamm:140711,Dipodomys merriami,MSB:Mamm,Mammal,male,,,,female,,,https://arctos.database.museum/guid/MSB:Para:10015,https://arctos.database.museum/guid/MSB:Mamm:140711,34.334181,-106.739406,True
MSB:Para:10016,Pterygodermatites dipodomis,Pterygodermatites,Pterygodermatites dipodomis,"1998, season 1, trapnight 1",1998.0,MSB:Mamm:99186,Dipodomys merriami,MSB:Mamm,Mammal,male,,,,female,,,https://arctos.database.museum/guid/MSB:Para:10016,https://arctos.database.museum/guid/MSB:Mamm:99186,34.288474,-106.904267,True
MSB:Para:10017,Pterygodermatites dipodomis,Pterygodermatites,Pterygodermatites dipodomis,"1998, season 1, trapnight 1",1998.0,MSB:Mamm:261657,Dipodomys merriami,MSB:Mamm,Mammal,male,,,,male,,,https://arctos.database.museum/guid/MSB:Para:10017,https://arctos.database.museum/guid/MSB:Mamm:261657,34.288474,-106.904267,True
MSB:Para:10018,Raillietina bakeri,Raillietina,Raillietina bakeri,"1998, season 3, trapnight 1",1998.0,MSB:Mamm:261377,Neotoma albigula,MSB:Mamm,Mammal,male,,small intestine,,,,,https://arctos.database.museum/guid/MSB:Para:10018,https://arctos.database.museum/guid/MSB:Mamm:261377,34.29136,-106.935975,True
MSB:Para:10019,Pterygodermatites dipodomis,Pterygodermatites,Pterygodermatites dipodomis,"1992, season 1, trapnight 1",1992.0,MSB:Mamm:71219,Dipodomys merriami,MSB:Mamm,Mammal,female,,small intestine,,female,,,https://arctos.database.museum/guid/MSB:Para:10019,https://arctos.database.museum/guid/MSB:Mamm:71219,34.334181,-106.739406,True
MSB:Para:10020,Pterygodermatites dipodomis,Pterygodermatites,Pterygodermatites dipodomis,"1992, season 1, trapnight 2",1992.0,MSB:Mamm:69816,Dipodomys merriami,MSB:Mamm,Mammal,female,,small intestine,,female,,,https://arctos.database.museum/guid/MSB:Para:10020,https://arctos.database.museum/guid/MSB:Mamm:69816,34.288474,-106.904267,True
