guid,species,genus,sex,life_stage,date,locality,latitude,longitude,mappable,parasite_status,detected,not_detected,parasite_parts_present,parasite_summary,flea_count,mite_count,tick_count,louse_count,nematode_count,cestode_count,trematode_count,arctos_url
KSB:Mamm:1,Reithrodontomys megalotis,Reithrodontomys,female,adult,22 July 2020,"USA, KS, Washington County; trapline ID: 3-25R",39.64879,-96.86558,True,not recorded,,,,,,,,,,,,https://arctos.database.museum/guid/KSB:Mamm:1
KSB:Mamm:2,Sigmodon hispidus,Sigmodon,male,adult,5 Jan. 2023,"USA, KS, Riley County; Konza Prairie Biological Station, Plot SuB-W, Trap 17",39.074139,-96.567619,True,detected,ectoparasite: louse; endoparasite,,ectoparasite; endoparasite,ectoparasite: lice; endoparasite: nematode,,,,,,,,https://arctos.database.museum/guid/KSB:Mamm:2
KSB:Mamm:3,Peromyscus leucopus,Peromyscus,female,subadult,13 Oct. 2020,"USA, KS, Barber County; trapline ID: 4-19R",37.38401,-98.96342,True,not recorded,,,,,,,,,,,,https://arctos.database.museum/guid/KSB:Mamm:3
KSB:Mamm:4,Peromyscus maniculatus,Peromyscus,female,adult,3 Jan. 2023,"USA, KS; Riley County; KPBS, Plot 1D-W",39.07723901,-96.56190399,True,not recorded,,,,,,,,,,,,https://arctos.database.museum/guid/KSB:Mamm:4
KSB:Mamm:5,Microtus ochrogaster,Microtus,female,adult,3 April 2021,"USA, KS; Pottawatomie County; 3530 Burr Oak Cir, Hope Residence, 1.25 km S+ 3.5km. W. Wamego",39.194359,-96.403147,True,not recorded,,,,,,,,,,,,https://arctos.database.museum/guid/KSB:Mamm:5
KSB:Mamm:6,Peromyscus leucopus,Peromyscus,female,adult,21 July. 2020,"USA, KS; Washington County",39.64758,-96.86312,True,not recorded,,,,,,,,,,,,https://arctos.database.museum/guid/KSB:Mamm:6
KSB:Mamm:7,Peromyscus leucopus,Peromyscus,female,adult,3 Jan. 2023,"USA, KS; Riley County; KPBS, Plot 20B-W",39.07318099,-96.57871096,True,not recorded,,,,,,,,,,,,https://arctos.database.museum/guid/KSB:Mamm:7
KSB:Mamm:8,Reithrodontomys fulvescens,Reithrodontomys,male,adult,5 Oct. 2021,"USA, KS; Barber County",37.13809,-98.85561,True,not recorded,,,,,,,,,,,,https://arctos.database.museum/guid/KSB:Mamm:8
KSB:Mamm:9,Blarina hylophaga,Blarina,male,adult,1 Oct. 2022,"USA, KS; Riley County; KPBS, CONSME Plot",39.094571,-96.587048,True,not recorded,,,,,,,,,,,,https://arctos.database.museum/guid/KSB:Mamm:9
KSB:Mamm:10,Peromyscus leucopus,Peromyscus,female,adult,3 Jan. 2023,"USa, KS; Riley County; KPBS, Plot 20B-W",39.07298301,-96.57850301,True,not recorded,,,,,,,,,,,,https://arctos.database.museum/guid/KSB:Mamm:10
KSB:Mamm:11,Neotoma floridana,Neotoma,male,adult,15 June. 2023,"USA, KS; Riley County; Fancy Creek State Park",39.44045,-96.73104,True,material present,,,ectoparasite,ectoparasite,,,,,,,,https://arctos.database.museum/guid/KSB:Mamm:11
KSB:Mamm:12,Peromyscus leucopus,Peromyscus,male,adult,3 Jan. 2023,"USA, KS; Riley County; KPBS, Plot 20B-W",39.07287296,-96.578387,True,not recorded,,,,,,,,,,,,https://arctos.database.museum/guid/KSB:Mamm:12
KSB:Mamm:13,Neotoma floridana,Neotoma,male,subadult,15 June. 2023,"USA, KS; Riley County; Fancy Creek State Park",39.43756,-96.73434,True,not recorded,,,,,,,,,,,,https://arctos.database.museum/guid/KSB:Mamm:13
KSB:Mamm:14,Microtus ochrogaster,Microtus,male,adult,3 Jan. 2023,"USA, KS; Riley County; KPBS, Plot 4B-E",39.07547596,-96.59629603,True,not recorded,,,,,,,,,,,,https://arctos.database.museum/guid/KSB:Mamm:14
KSB:Mamm:15,Peromyscus leucopus,Peromyscus,female,adult,11 Aug. 2020,"USA, KS; Coffey County",38.198865,-95.634301,True,not recorded,,,,,,,,,,,,https://arctos.database.museum/guid/KSB:Mamm:15
KSB:Mamm:16,Reithrodontomys megalotis,Reithrodontomys,male,,3 June. 2020,"USa, KS; Pawnee County",38.08123,-99.12934,True,not recorded,,,,,,,,,,,,https://arctos.database.museum/guid/KSB:Mamm:16
KSB:Mamm:17,Peromyscus leucopus,Peromyscus,male,adult,2 June. 2020,"USA, KS; Pawnee County",38.081836,-99.131154,True,not recorded,,,,,,,,,,,,https://arctos.database.museum/guid/KSB:Mamm:17
KSB:Mamm:18,Microtus ochrogaster,Microtus,female,adult,2 June. 2020,"USA, KS; Pawnee County",38.081225,-99.129339,True,not recorded,,,,,,,,,,,,https://arctos.database.museum/guid/KSB:Mamm:18
KSB:Mamm:19,Blarina hylophaga,Blarina,female,adult,5 Nov. 2020,"USA, KS; Stafford County",37.86889,-98.9505,True,not recorded,,,,,,,,,,,,https://arctos.database.museum/guid/KSB:Mamm:19
