parasite_guid,related_cataloged_items
MSB:Para:19194,(parasite of) institutional catalog number MSBA 37159
MSB:Para:20729,(parasite of) institutional catalog number BYU:Monte L. Bean Life Sciences Museum 35044
MSB:Para:20734,(parasite of) institutional catalog number BYU:Monte L. Bean Life Sciences Museum 35699
MSB:Para:20747,(parasite of) institutional catalog number BYU:Monte L. Bean Life Sciences Museum 35741
MSB:Para:20748,(parasite of) institutional catalog number BYU:Monte L. Bean Life Sciences Museum 35741
MSB:Para:20750,(parasite of) institutional catalog number BYU:Monte L. Bean Life Sciences Museum 35767
MSB:Para:20764,(parasite of) institutional catalog number BYU:Monte L. Bean Life Sciences Museum 35749
MSB:Para:27129,(parasite of) NK 278122
MSB:Para:27130,(parasite of) NK 278122
MSB:Para:27131,(parasite of) NK 278117
MSB:Para:27132,(parasite of) NK 278117
MSB:Para:28906,(parasite of) identifier http://n2t.net/ark:/65665/3777ecb64-7edc-4479-8486-a0b584092bd0; (parasite of) institutional catalog number 602540; (parasite of) USNM: National Museum of Natural History 602540
MSB:Para:28907,(parasite of) identifier http://n2t.net/ark:/65665/3777ecb64-7edc-4479-8486-a0b584092bd0; (parasite of) institutional catalog number 602540; (parasite of) USNM: National Museum of Natural History 602540
MSB:Para:28908,(parasite of) identifier http://n2t.net/ark:/65665/3777ecb64-7edc-4479-8486-a0b584092bd0; (parasite of) institutional catalog number 602540; (parasite of) USNM: National Museum of Natural History 602540
MSB:Para:28909,(parasite of) identifier http://n2t.net/ark:/65665/3777ecb64-7edc-4479-8486-a0b584092bd0; (parasite of) institutional catalog number 602540; (parasite of) USNM: National Museum of Natural History 602540
MSB:Para:28910,(parasite of) identifier http://n2t.net/ark:/65665/3777ecb64-7edc-4479-8486-a0b584092bd0; (parasite of) institutional catalog number 602540; (parasite of) USNM: National Museum of Natural History 602540
MSB:Para:28911,(parasite of) identifier http://n2t.net/ark:/65665/3777ecb64-7edc-4479-8486-a0b584092bd0; (parasite of) institutional catalog number 602540; (parasite of) USNM: National Museum of Natural History 602540
MSB:Para:28912,(parasite of) identifier http://n2t.net/ark:/65665/3777ecb64-7edc-4479-8486-a0b584092bd0; (parasite of) institutional catalog number 602540; (parasite of) USNM: National Museum of Natural History 602540
MSB:Para:28915,(parasite of) identifier http://n2t.net/ark:/65665/3777ecb64-7edc-4479-8486-a0b584092bd0; (parasite of) institutional catalog number 602540; (parasite of) USNM: National Museum of Natural History 602540
MSB:Para:28916,(parasite of) institutional catalog number 603447; (parasite of) USNM: National Museum of Natural History 603447
MSB:Para:28917,(parasite of) identifier http://n2t.net/ark:/65665/3777ecb64-7edc-4479-8486-a0b584092bd0; (parasite of) identifier http://n2t.net/ark:/65665/3777ecb64-7edc-4479-8486-a0b584092bd0; (parasite of) institutional catalog number 602540; (parasite of) USNM: National Museum of Natural History 602540
MSB:Para:28918,(parasite of) identifier http://n2t.net/ark:/65665/3777ecb64-7edc-4479-8486-a0b584092bd0; (parasite of) institutional catalog number 602540; (parasite of) USNM: National Museum of Natural History 602540
MSB:Para:28919,(parasite of) identifier http://n2t.net/ark:/65665/3777ecb64-7edc-4479-8486-a0b584092bd0; (parasite of) institutional catalog number 602540; (parasite of) USNM: National Museum of Natural History 602540
MSB:Para:29044,(parasite of) NK 275269
MSB:Para:29045,(parasite of) NK 222327
MSB:Para:29047,(parasite of) NK 222326
MSB:Para:29048,(parasite of) NK 222330
MSB:Para:29050,(parasite of) NK 222328
MSB:Para:30090,(parasite of) collector number RLR 985718
MSB:Para:30091,(parasite of) collector number RLR 980718
MSB:Para:31102,(parasite of) identifier CUMV 20198
MSB:Para:31108,(parasite of) identifier CUMV 20189
MSB:Para:31460,(parasite of) identifier CUMV 20189
MSB:Para:31480,(parasite of) identifier CUMV 20189
MSB:Para:31814,(parasite of) NK 282565
MSB:Para:31829,(parasite of) NK 281986
MSB:Para:33483,(collected with) identifier KNRC 97339; (parasite of) identifier 97339
MSB:Para:33484,(collected with) identifier KNRC 97422; (parasite of) identifier 97422
MSB:Para:33485,(collected with) identifier KNRC 97457; (parasite of) identifier 97457
MSB:Para:33497,(collected with) identifier KNRC 97033; (parasite of) identifier 97033
MSB:Para:33498,(collected with) identifier KNRC 97061; (parasite of) identifier 97061
MSB:Para:33499,(collected with) identifier KNRC 97084; (parasite of) identifier 97084
MSB:Para:33540,(collected with) identifier KNRC 97004; (parasite of) identifier 97004
MSB:Para:33903,(collected with) identifier KNRC 97079; (parasite of) identifier 97079
MSB:Para:33904,(collected with) identifier KNRC 97203; (parasite of) identifier 97203
MSB:Para:34024,(collected with) identifier KNRC 97065; (parasite of) identifier 97065
MSB:Para:34025,(collected with) identifier KNRC 97086; (parasite of) identifier 97086
MSB:Para:34772,(collected with) identifier KNRC 97032; (parasite of) identifier 97032
MSB:Para:34919,(collected with) identifier KNRC 97004; (parasite of) identifier 97004
MSB:Para:39307,(parasite of) institutional catalog number ZM-17313
MSB:Para:39308,(parasite of) institutional catalog number ZM-17313
MSB:Para:39309,(parasite of) institutional catalog number ZM-17272
MSB:Para:39310,(parasite of) institutional catalog number ZM-17313
MSB:Para:45974,(parasite of) identifier 25490
MSB:Para:45975,(parasite of) identifier 25496
MSB:Para:45977,(parasite of) identifier 25497
MSB:Para:45978,(parasite of) identifier 25495
MSB:Para:45979,(parasite of) identifier 25497; (same lot as) identifier 60891
MSB:Para:45980,(parasite of) identifier 25487
MSB:Para:45981,(parasite of) identifier 25489
MSB:Para:45982,(parasite of) identifier 25490
MSB:Para:45983,(parasite of) identifier 25491
MSB:Para:45984,(parasite of) identifier 25492
MSB:Para:45985,(parasite of) identifier 25493
MSB:Para:45986,(parasite of) identifier 25488
MSB:Para:45987,(parasite of) identifier 25494
MSB:Para:45988,(parasite of) identifier 25495
MSB:Para:45989,(parasite of) identifier 25495
MSB:Para:45990,(parasite of) identifier 25495
MSB:Para:45991,(parasite of) identifier 25495
MSB:Para:45992,(parasite of) identifier 25495
MSB:Para:45993,(parasite of) identifier 25496
MSB:Para:45994,(collected with) identifier 2255; (collected with) identifier 2256; (parasite of) identifier 6066
MSB:Para:45996,(collected with) identifier 14759; (collected with) identifier 14760; (parasite of) identifier 11967
MSB:Para:45997,(collected with) identifier 893; (collected with) identifier 894; (collected with) identifier 895; (parasite of) identifier 697
MSB:Para:45998,(collected with) identifier 6700; (collected with) identifier 6701; (collected with) identifier 6702; (parasite of) identifier 9490
MSB:Para:46002,(parasite of) identifier 25498
MSB:Para:46003,(parasite of) identifier 25498
MSB:Para:46004,(parasite of) identifier 25499
MSB:Para:46005,(parasite of) identifier 5518
MSB:Para:46007,(parasite of) identifier 25499
MSB:Para:46008,(parasite of) identifier 25499
MSB:Para:46009,(parasite of) identifier 25499
MSB:Para:46010,(parasite of) identifier 25498
MSB:Para:46011,(parasite of) identifier 25498
